pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,1716.8261801936565
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,1716.8261801936565
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,1716.8261801936565
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,1716.8261801936565
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,1716.8261801936565
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,1716.8261801936565
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,932.6100234478702
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,932.6100234478702
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,944.2438524952004
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,1719.3721618058576
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,1719.3721618058576
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,944.2438524952004
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,924.2900635587786
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,922.6199856940227
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,922.6199856940227
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,922.6199856940227
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,924.2900635587786
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,924.2900635587786
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,922.6199856940227
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,908.1044660751289
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,903.4237234663457
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,903.4237234663457
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,903.4237234663457
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,905.8247781267163
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,985.9015448782394
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,913.8488386199574
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,894.3393778077702
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,883.9415839717691
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,883.9415839717691
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,894.3393778077702
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,913.8488386199574
